region,size,threads,computation_time,total_time
3,16,16,0.0004,0.0005
4,16,16,0.0003,0.0004
1,16,16,0.0002,0.0003
2,16,16,0.0003,0.0004
3,16,16,0.0003,0.0004
4,16,16,0.0004,0.0005
1,16,16,0.0002,0.0003
2,16,16,0.0003,0.0004
3,16,16,0.0003,0.0004
4,16,16,0.0003,0.0004
1,16,16,0.0003,0.0003
2,16,16,0.0004,0.0005
3,16,16,0.0004,0.0006
4,16,16,0.0004,0.0005
1,16,16,0.0002,0.0003
2,16,16,0.0003,0.0004
3,16,16,0.0003,0.0004
4,16,16,0.0004,0.0005
1,16,16,0.0002,0.0003
2,16,16,0.0003,0.0004
3,16,16,0.0004,0.0004
4,16,16,0.0003,0.0004
1,16,16,0.0002,0.0003
2,16,16,0.0003,0.0004
3,16,16,0.0003,0.0004
4,16,16,0.0003,0.0004
1,16,32,0.0005,0.0006
2,16,32,0.0005,0.0006
3,16,32,0.0006,0.0007
4,16,32,0.0005,0.0006
1,16,32,0.0005,0.0005
2,16,32,0.0006,0.0007
3,16,32,0.0006,0.0007
4,16,32,0.0006,0.0007
1,16,32,0.0006,0.0007
2,16,32,0.0007,0.0008
3,16,32,0.0006,0.0007
4,16,32,0.0006,0.0007
1,16,32,0.0004,0.0005
2,16,32,0.0007,0.0008
3,16,32,0.0006,0.0006
4,16,32,0.0006,0.0007
1,16,32,0.0004,0.0005
2,16,32,0.0005,0.0006
3,16,32,0.0006,0.0007
4,16,32,0.0006,0.0007
1,16,32,0.0005,0.0006
2,16,32,0.0006,0.0007
3,16,32,0.0005,0.0006
4,16,32,0.0005,0.0006
1,16,32,0.0005,0.0006
2,16,32,0.0005,0.0006
3,16,32,0.0005,0.0006
4,16,32,0.0006,0.0007
1,16,32,0.0006,0.0007
2,16,32,0.0006,0.0007
3,16,32,0.0006,0.0007
4,16,32,0.0006,0.0007
1,16,32,0.0004,0.0005
2,16,32,0.0006,0.0007
3,16,32,0.0006,0.0007
4,16,32,0.0006,0.0006
1,16,32,0.0005,0.0005
2,16,32,0.0005,0.0006
3,16,32,0.0006,0.0006
4,16,32,0.0006,0.0007
1,32,1,0.0002,0.0003
2,32,1,0.0011,0.0012
3,32,1,0.0012,0.0013
4,32,1,0.0013,0.0014
1,32,1,0.0002,0.0003
2,32,1,0.0011,0.0012
3,32,1,0.0011,0.0011
4,32,1,0.0013,0.0014
1,32,1,0.0002,0.0003
2,32,1,0.0012,0.0013
3,32,1,0.0011,0.0012
4,32,1,0.0013,0.0014
1,32,1,0.0002,0.0002
2,32,1,0.0011,0.0012
3,32,1,0.0011,0.0012
4,32,1,0.0013,0.0014
1,32,1,0.0002,0.0003
2,32,1,0.0011,0.0012
3,32,1,0.0011,0.0012
4,32,1,0.0014,0.0015
1,32,1,0.0002,0.0003
2,32,1,0.0011,0.0012
3,32,1,0.0011,0.0012
4,32,1,0.0013,0.0014
1,32,1,0.0002,0.0003
2,32,1,0.0011,0.0012
3,32,1,0.0011,0.0012
4,32,1,0.0013,0.0014
1,32,1,0.0002,0.0003
2,32,1,0.0011,0.0012
3,32,1,0.0011,0.0012
4,32,1,0.0013,0.0014
1,32,1,0.0002,0.0003
2,32,1,0.0011,0.0012
3,32,1,0.0011,0.0012
4,32,1,0.0013,0.0014
1,32,1,0.0002,0.0003
2,32,1,0.0011,0.0012
3,32,1,0.0011,0.0012
4,32,1,0.0013,0.0014
1,32,2,0.0001,0.0002
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0008
1,32,2,0.0001,0.0002
2,32,2,0.0006,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0009
1,32,2,0.0001,0.0002
2,32,2,0.0006,0.0007
3,32,2,0.0006,0.0007
4,32,2,0.0008,0.0009
1,32,2,0.0001,0.0002
2,32,2,0.0006,0.0007
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0008
1,32,2,0.0001,0.0002
2,32,2,0.0006,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0008
1,32,2,0.0001,0.0002
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0008
1,32,2,0.0001,0.0002
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0008
1,32,2,0.0001,0.0002
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0009
1,32,2,0.0001,0.0003
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0008,0.0009
1,32,2,0.0002,0.0003
2,32,2,0.0006,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0008
1,32,4,0.0001,0.0002
2,32,4,0.0004,0.0004
3,32,4,0.0004,0.0005
4,32,4,0.0004,0.0005
1,32,4,0.0001,0.0002
2,32,4,0.0004,0.0005
3,32,4,0.0004,0.0005
4,32,4,0.0004,0.0005
1,32,4,0.0001,0.0002
2,32,4,0.0004,0.0005
3,32,4,0.0004,0.0005
4,32,4,0.0004,0.0005
1,32,4,0.0002,0.0003
2,32,4,0.0004,0.0005
3,32,4,0.0003,0.0004
4,32,4,0.0004,0.0005
1,32,4,0.0001,0.0002
2,32,4,0.0004,0.0005
3,32,4,0.0003,0.0004
4,32,4,0.0004,0.0006
1,32,4,0.0002,0.0003
2,32,4,0.0004,0.0005
3,32,4,0.0003,0.0004
4,32,4,0.0004,0.0005
1,32,4,0.0002,0.0003
2,32,4,0.0004,0.0005
3,32,4,0.0004,0.0005
4,32,4,0.0004,0.0005
1,32,4,0.0002,0.0003
2,32,4,0.0004,0.0005
3,32,4,0.0003,0.0004
4,32,4,0.0004,0.0005
1,32,4,0.0002,0.0003
2,32,4,0.0004,0.0005
3,32,4,0.0003,0.0004
4,32,4,0.0004,0.0005
1,32,4,0.0002,0.0002
2,32,4,0.0004,0.0004
3,32,4,0.0004,0.0004
4,32,4,0.0004,0.0005
1,32,8,0.0002,0.0003
2,32,8,0.0003,0.0004
3,32,8,0.0053,0.0054
4,32,8,0.0003,0.0004
1,32,8,0.0134,0.0136
2,32,8,0.0003,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,8,0.0002,0.0003
2,32,8,0.0003,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,8,0.0002,0.0003
2,32,8,0.0003,0.0009
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,8,0.0002,0.0003
