region,size,threads,computation_time,total_time
3,16,8,0.0002,0.0003
4,16,8,0.0002,0.0002
1,16,8,0.0001,0.0002
2,16,8,0.0002,0.0002
3,16,8,0.0002,0.0003
4,16,8,0.0001,0.0003
1,16,8,0.0001,0.0003
2,16,8,0.0001,0.0002
3,16,8,0.0002,0.0002
4,16,8,0.0002,0.0003
1,16,8,0.0001,0.0002
2,16,8,0.0002,0.0003
3,16,8,0.0002,0.0003
4,16,8,0.0002,0.0003
1,16,8,0.0001,0.0002
2,16,8,0.0001,0.0002
3,16,8,0.0002,0.0002
4,16,8,0.0002,0.0003
1,16,8,0.0001,0.0002
2,16,8,0.0002,0.0002
3,16,8,0.0002,0.0003
4,16,8,0.0001,0.0002
1,16,8,0.0001,0.0002
2,16,8,0.0002,0.0003
3,16,8,0.0002,0.0003
4,16,8,0.0002,0.0003
1,16,8,0.0001,0.0002
2,16,8,0.0001,0.0002
3,16,8,0.0002,0.0003
4,16,8,0.0002,0.0003
1,16,16,0.0002,0.0003
2,16,16,0.0002,0.0003
3,16,16,0.0002,0.0003
4,16,16,0.0002,0.0003
1,16,16,0.0002,0.0003
2,16,16,0.0002,0.0003
3,16,16,0.0002,0.0003
4,16,16,0.0003,0.0004
1,16,16,0.0002,0.0003
2,16,16,0.0003,0.0004
3,16,16,0.0003,0.0004
4,16,16,0.0002,0.0003
1,16,16,0.0002,0.0003
2,16,16,0.0003,0.0004
3,16,16,0.0002,0.0003
4,16,16,0.0003,0.0004
1,16,16,0.0002,0.0003
2,16,16,0.0002,0.0003
3,16,16,0.0002,0.0003
4,16,16,0.0002,0.0003
1,16,16,0.0002,0.0003
2,16,16,0.0002,0.0003
3,16,16,0.0002,0.0003
4,16,16,0.0002,0.0003
1,16,16,0.0002,0.0003
2,16,16,0.0002,0.0003
3,16,16,0.0002,0.0003
4,16,16,0.0003,0.0003
1,16,16,0.0002,0.0003
2,16,16,0.0002,0.0003
3,16,16,0.0002,0.0003
4,16,16,0.0002,0.0003
1,16,16,0.0002,0.0003
2,16,16,0.0002,0.0003
3,16,16,0.0002,0.0003
4,16,16,0.0003,0.0004
1,16,16,0.0003,0.0005
2,16,16,0.0003,0.0004
3,16,16,0.0002,0.0003
4,16,16,0.0003,0.0004
1,16,32,0.0004,0.0005
2,16,32,0.0004,0.0005
3,16,32,0.0004,0.0005
4,16,32,0.0005,0.0006
1,16,32,0.0004,0.0005
2,16,32,0.0004,0.0006
3,16,32,0.0005,0.0006
4,16,32,0.0006,0.0007
1,16,32,0.0005,0.0006
2,16,32,0.0004,0.0005
3,16,32,0.0004,0.0005
4,16,32,0.0004,0.0005
1,16,32,0.0004,0.0005
2,16,32,0.0005,0.0006
3,16,32,0.0004,0.0005
4,16,32,0.0004,0.0005
1,16,32,0.0004,0.0005
2,16,32,0.0004,0.0005
3,16,32,0.0004,0.0005
4,16,32,0.0005,0.0006
1,16,32,0.0004,0.0005
2,16,32,0.0004,0.0005
3,16,32,0.0004,0.0005
4,16,32,0.0005,0.0006
1,16,32,0.0004,0.0006
2,16,32,0.0004,0.0005
3,16,32,0.0005,0.0006
4,16,32,0.0005,0.0006
1,16,32,0.0004,0.0005
2,16,32,0.0004,0.0005
3,16,32,0.0004,0.0005
4,16,32,0.0004,0.0005
1,16,32,0.0004,0.0005
2,16,32,0.0004,0.0005
3,16,32,0.0004,0.0005
4,16,32,0.0004,0.0005
1,16,32,0.0005,0.0006
2,16,32,0.0004,0.0006
3,16,32,0.0005,0.0006
4,16,32,0.0005,0.0006
1,32,1,0.0002,0.0003
2,32,1,0.0011,0.0013
3,32,1,0.0011,0.0013
4,32,1,0.0013,0.0015
1,32,1,0.0002,0.0003
2,32,1,0.0012,0.0013
3,32,1,0.0011,0.0012
4,32,1,0.0014,0.0016
1,32,1,0.0002,0.0003
2,32,1,0.0012,0.0014
3,32,1,0.0011,0.0013
4,32,1,0.0013,0.0015
1,32,1,0.0002,0.0003
2,32,1,0.0011,0.0013
3,32,1,0.0011,0.0012
4,32,1,0.0013,0.0014
1,32,1,0.0002,0.0003
2,32,1,0.0013,0.0014
3,32,1,0.0011,0.0012
4,32,1,0.0013,0.0014
1,32,1,0.0002,0.0003
2,32,1,0.0012,0.0013
3,32,1,0.0011,0.0013
4,32,1,0.0013,0.0014
1,32,1,0.0002,0.0003
2,32,1,0.0012,0.0013
3,32,1,0.0011,0.0013
4,32,1,0.0013,0.0015
1,32,1,0.0002,0.0003
2,32,1,0.0012,0.0014
3,32,1,0.0011,0.0013
4,32,1,0.0013,0.0014
1,32,1,0.0002,0.0003
2,32,1,0.0012,0.0013
3,32,1,0.0011,0.0012
4,32,1,0.0013,0.0014
1,32,1,0.0002,0.0003
2,32,1,0.0012,0.0013
3,32,1,0.0011,0.0013
4,32,1,0.0013,0.0014
1,32,2,0.0001,0.0002
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0009
1,32,2,0.0001,0.0003
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0009
1,32,2,0.0001,0.0002
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0009
1,32,2,0.0001,0.0003
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0008
1,32,2,0.0001,0.0003
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0008
4,32,2,0.0007,0.0009
1,32,2,0.0002,0.0003
2,32,2,0.0007,0.0009
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0009
1,32,2,0.0001,0.0003
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0009
1,32,2,0.0001,0.0003
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0009
1,32,2,0.0002,0.0003
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0009
1,32,2,0.0002,0.0003
2,32,2,0.0007,0.0008
3,32,2,0.0006,0.0007
4,32,2,0.0007,0.0009
1,32,4,0.0002,0.0003
2,32,4,0.0003,0.0005
3,32,4,0.0004,0.0005
4,32,4,0.0004,0.0005
1,32,4,0.0002,0.0003
2,32,4,0.0003,0.0005
3,32,4,0.0004,0.0006
4,32,4,0.0004,0.0005
1,32,4,0.0001,0.0003
2,32,4,0.0003,0.0005
3,32,4,0.0004,0.0005
4,32,4,0.0004,0.0006
1,32,4,0.0001,0.0003
2,32,4,0.0003,0.0005
3,32,4,0.0004,0.0005
4,32,4,0.0004,0.0005
1,32,4,0.0002,0.0003
2,32,4,0.0003,0.0005
3,32,4,0.0004,0.0005
4,32,4,0.0004,0.0005
1,32,4,0.0001,0.0003
2,32,4,0.0004,0.0005
3,32,4,0.0003,0.0005
4,32,4,0.0004,0.0005
1,32,4,0.0001,0.0003
2,32,4,0.0004,0.0005
3,32,4,0.0003,0.0005
4,32,4,0.0004,0.0005
1,32,4,0.0001,0.0002
2,32,4,0.0004,0.0005
3,32,4,0.0004,0.0005
4,32,4,0.0004,0.0006
1,32,4,0.0001,0.0003
2,32,4,0.0003,0.0005
3,32,4,0.0004,0.0005
4,32,4,0.0004,0.0005
1,32,4,0.0001,0.0003
2,32,4,0.0004,0.0005
3,32,4,0.0004,0.0005
4,32,4,0.0004,0.0005
1,32,8,0.0002,0.0003
2,32,8,0.0003,0.0004
3,32,8,0.0005,0.0006
4,32,8,0.0003,0.0005
1,32,8,0.0002,0.0003
2,32,8,0.0003,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,8,0.0001,0.0003
2,32,8,0.0004,0.0005
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,8,0.0001,0.0003
2,32,8,0.0003,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0005
1,32,8,0.0003,0.0004
2,32,8,0.0003,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,8,0.0002,0.0003
2,32,8,0.0002,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,8,0.0002,0.0003
2,32,8,0.0004,0.0005
3,32,8,0.0005,0.0007
4,32,8,0.0003,0.0005
1,32,8,0.0002,0.0003
2,32,8,0.0003,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,8,0.0002,0.0003
2,32,8,0.0003,0.0004
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,8,0.0002,0.0003
2,32,8,0.0004,0.0005
3,32,8,0.0003,0.0004
4,32,8,0.0003,0.0004
1,32,16,0.0002,0.0004
2,32,16,0.0005,0.0006
3,32,16,0.0004,0.0006
4,32,16,0.0005,0.0006
1,32,16,0.0003,0.0004
2,32,16,0.0005,0.0006
3,32,16,0.0004,0.0006
4,32,16,0.0005,0.0006
1,32,16,0.0003,0.0004
2,32,16,0.0005,0.0006
3,32,16,0.0004,0.0005
4,32,16,0.0005,0.0006
1,32,16,0.0002,0.0004
2,32,16,0.0004,0.0006
3,32,16,0.0004,0.0005
4,32,16,0.0005,0.0006
1,32,16,0.0002,0.0003
2,32,16,0.0005,0.0007
3,32,16,0.0004,0.0006
4,32,16,0.0005,0.0007
1,32,16,0.0003,0.0004
2,32,16,0.0004,0.0006
3,32,16,0.0004,0.0006
4,32,16,0.0005,0.0006
1,32,16,0.0002,0.0004
2,32,16,0.0005,0.0006
3,32,16,0.0004,0.0005
4,32,16,0.0004,0.0005
1,32,16,0.0002,0.0004
2,32,16,0.0005,0.0007
3,32,16,0.0004,0.0006
4,32,16,0.0004,0.0005
1,32,16,0.0002,0.0004
2,32,16,0.0005,0.0006
3,32,16,0.0004,0.0006
4,32,16,0.0005,0.0006
1,32,16,0.0002,0.0004
2,32,16,0.0005,0.0006
3,32,16,0.0004,0.0005
4,32,16,0.0005,0.0006
1,32,32,0.0005,0.0006
2,32,32,0.0005,0.0006
3,32,32,0.0005,0.0006
4,32,32,0.0005,0.0007
1,32,32,0.0004,0.0005
2,32,32,0.0005,0.0006
3,32,32,0.0005,0.0007
4,32,32,0.0006,0.0009
1,32,32,0.0005,0.0006
2,32,32,0.0005,0.0007
3,32,32,0.0005,0.0007
4,32,32,0.0005,0.0006
1,32,32,0.0004,0.0005
2,32,32,0.0005,0.0006
3,32,32,0.0006,0.0007
4,32,32,0.0005,0.0006
1,32,32,0.0004,0.0006
2,32,32,0.0006,0.0008
3,32,32,0.0005,0.0007
4,32,32,0.0015,0.0018
1,32,32,0.0005,0.0007
2,32,32,0.0006,0.0007
3,32,32,0.0006,0.0008
4,32,32,0.0005,0.0006
1,32,32,0.0005,0.0006
2,32,32,0.0006,0.0007
3,32,32,0.0005,0.0007
4,32,32,0.0006,0.0008
1,32,32,0.0005,0.0006
2,32,32,0.0007,0.0008
3,32,32,0.0007,0.0009
4,32,32,0.0008,0.0009
1,32,32,0.0005,0.0006
2,32,32,0.0006,0.0007
3,32,32,0.0006,0.0008
4,32,32,0.0005,0.0007
1,32,32,0.0004,0.0006
2,32,32,0.0008,0.0010
3,32,32,0.0006,0.0007
4,32,32,0.0006,0.0007
1,64,1,0.0007,0.0010
2,64,1,0.0046,0.0050
3,64,1,0.0042,0.0047
4,64,1,0.0050,0.0054
1,64,1,0.0008,0.0011
2,64,1,0.0046,0.0049
3,64,1,0.0042,0.0045
4,64,1,0.0051,0.0054
1,64,1,0.0007,0.0010
2,64,1,0.0045,0.0049
3,64,1,0.0042,0.0045
4,64,1,0.0052,0.0055
1,64,1,0.0007,0.0011
2,64,1,0.0045,0.0048
3,64,1,0.0042,0.0045
4,64,1,0.0051,0.0055
1,64,1,0.0007,0.0010
2,64,1,0.0045,0.0048
3,64,1,0.0043,0.0047
4,64,1,0.0050,0.0054
1,64,1,0.0007,0.0010
2,64,1,0.0045,0.0048
3,64,1,0.0046,0.0050
4,64,1,0.0053,0.0056
1,64,1,0.0007,0.0010
2,64,1,0.0045,0.0049
3,64,1,0.0043,0.0047
4,64,1,0.0051,0.0054
1,64,1,0.0008,0.0011
2,64,1,0.0045,0.0049
3,64,1,0.0042,0.0046
4,64,1,0.0052,0.0055
1,64,1,0.0007,0.0010
2,64,1,0.0047,0.0050
3,64,1,0.0043,0.0047
4,64,1,0.0049,0.0052
1,64,1,0.0008,0.0011
2,64,1,0.0045,0.0050
3,64,1,0.0044,0.0047
4,64,1,0.0052,0.0057
1,64,2,0.0004,0.0007
2,64,2,0.0025,0.0028
3,64,2,0.0022,0.0024
4,64,2,0.0027,0.0030
1,64,2,0.0004,0.0007
2,64,2,0.0027,0.0031
3,64,2,0.0022,0.0025
4,64,2,0.0027,0.0030
1,64,2,0.0004,0.0007
2,64,2,0.0026,0.0029
3,64,2,0.0022,0.0025
4,64,2,0.0029,0.0033
1,64,2,0.0004,0.0007
2,64,2,0.0025,0.0028
3,64,2,0.0021,0.0025
4,64,2,0.0027,0.0031
1,64,2,0.0004,0.0007
2,64,2,0.0025,0.0029
3,64,2,0.0022,0.0025
4,64,2,0.0027,0.0030
1,64,2,0.0004,0.0007
2,64,2,0.0026,0.0029
3,64,2,0.0023,0.0026
4,64,2,0.0027,0.0030
1,64,2,0.0004,0.0007
2,64,2,0.0025,0.0028
3,64,2,0.0022,0.0025
4,64,2,0.0029,0.0034
1,64,2,0.0004,0.0008
2,64,2,0.0026,0.0029
3,64,2,0.0022,0.0025
4,64,2,0.0028,0.0031
1,64,2,0.0004,0.0008
2,64,2,0.0026,0.0030
3,64,2,0.0022,0.0026
4,64,2,0.0027,0.0031
1,64,2,0.0004,0.0007
2,64,2,0.0025,0.0029
3,64,2,0.0024,0.0027
4,64,2,0.0028,0.0032
1,64,4,0.0004,0.0007
2,64,4,0.0015,0.0018
3,64,4,0.0014,0.0018
4,64,4,0.0017,0.0020
1,64,4,0.0004,0.0008
2,64,4,0.0015,0.0018
3,64,4,0.0015,0.0018
4,64,4,0.0015,0.0018
1,64,4,0.0004,0.0007
2,64,4,0.0015,0.0018
3,64,4,0.0015,0.0018
4,64,4,0.0017,0.0020
1,64,4,0.0004,0.0007
2,64,4,0.0018,0.0022
3,64,4,0.0015,0.0017
4,64,4,0.0016,0.0019
1,64,4,0.0004,0.0007
2,64,4,0.0015,0.0018
3,64,4,0.0014,0.0017
4,64,4,0.0016,0.0019
1,64,4,0.0004,0.0007
2,64,4,0.0015,0.0020
3,64,4,0.0015,0.0018
4,64,4,0.0016,0.0019
1,64,4,0.0004,0.0007
2,64,4,0.0015,0.0018
3,64,4,0.0023,0.0027
4,64,4,0.0016,0.0020
1,64,4,0.0004,0.0008
2,64,4,0.0015,0.0019
3,64,4,0.0015,0.0018
4,64,4,0.0016,0.0019
1,64,4,0.0004,0.0007
2,64,4,0.0015,0.0018
3,64,4,0.0015,0.0018
4,64,4,0.0016,0.0020
1,64,4,0.0004,0.0007
2,64,4,0.0014,0.0017
3,64,4,0.0014,0.0017
4,64,4,0.0016,0.0019
1,64,8,0.0004,0.0006
2,64,8,0.0011,0.0014
3,64,8,0.0014,0.0017
4,64,8,0.0021,0.0025
1,64,8,0.0004,0.0007
2,64,8,0.0011,0.0014
3,64,8,0.0014,0.0017
4,64,8,0.0015,0.0018
1,64,8,0.0004,0.0006
2,64,8,0.0011,0.0014
3,64,8,0.0016,0.0020
4,64,8,0.0018,0.0021
1,64,8,0.0004,0.0007
2,64,8,0.0011,0.0014
3,64,8,0.0014,0.0017
4,64,8,0.0015,0.0018
1,64,8,0.0004,0.0007
2,64,8,0.0012,0.0015
3,64,8,0.0074,0.0079
4,64,8,0.0021,0.0024
1,64,8,0.0004,0.0008
2,64,8,0.0012,0.0015
3,64,8,0.0015,0.0018
4,64,8,0.0018,0.0023
1,64,8,0.0004,0.0007
2,64,8,0.0011,0.0015
3,64,8,0.0019,0.0022
4,64,8,0.0016,0.0019
1,64,8,0.0004,0.0007
2,64,8,0.0013,0.0016
3,64,8,0.0015,0.0019
4,64,8,0.0016,0.0019
1,64,8,0.0004,0.0007
2,64,8,0.0021,0.0025
3,64,8,0.0019,0.0022
4,64,8,0.0016,0.0019
1,64,8,0.0004,0.0007
2,64,8,0.0020,0.0025
3,64,8,0.0013,0.0016
4,64,8,0.0015,0.0018
1,64,16,0.0004,0.0007
2,64,16,0.0012,0.0015
3,64,16,0.0011,0.0014
4,64,16,0.0013,0.0016
1,64,16,0.0003,0.0007
2,64,16,0.0013,0.0016
3,64,16,0.0015,0.0018
4,64,16,0.0013,0.0016
1,64,16,0.0003,0.0006
2,64,16,0.0012,0.0015
3,64,16,0.0010,0.0014
4,64,16,0.0011,0.0014
1,64,16,0.0004,0.0007
2,64,16,0.0012,0.0016
3,64,16,0.0010,0.0013
4,64,16,0.0015,0.0017
1,64,16,0.0003,0.0006
2,64,16,0.0012,0.0015
3,64,16,0.0010,0.0013
4,64,16,0.0015,0.0018
1,64,16,0.0003,0.0006
2,64,16,0.0012,0.0015
3,64,16,0.0014,0.0017
4,64,16,0.0013,0.0016
1,64,16,0.0003,0.0006
2,64,16,0.0013,0.0015
3,64,16,0.0013,0.0016
4,64,16,0.0011,0.0014
1,64,16,0.0003,0.0006
2,64,16,0.0012,0.0015
3,64,16,0.0013,0.0016
4,64,16,0.0013,0.0016
1,64,16,0.0004,0.0007
2,64,16,0.0012,0.0015
3,64,16,0.0010,0.0013
4,64,16,0.0014,0.0017
1,64,16,0.0003,0.0006
2,64,16,0.0011,0.0013
3,64,16,0.0011,0.0014
4,64,16,0.0012,0.0016
1,64,32,0.0006,0.0010
2,64,32,0.0011,0.0014
3,64,32,0.0011,0.0015
4,64,32,0.0013,0.0016
1,64,32,0.0005,0.0008
2,64,32,0.0011,0.0014
3,64,32,0.0011,0.0014
4,64,32,0.0014,0.0018
1,64,32,0.0007,0.0010
2,64,32,0.0011,0.0014
3,64,32,0.0010,0.0013
4,64,32,0.0013,0.0016
1,64,32,0.0005,0.0007
2,64,32,0.0010,0.0013
3,64,32,0.0010,0.0013
4,64,32,0.0013,0.0017
1,64,32,0.0007,0.0011
2,64,32,0.0011,0.0015
3,64,32,0.0010,0.0013
4,64,32,0.0011,0.0014
1,64,32,0.0005,0.0007
2,64,32,0.0012,0.0016
3,64,32,0.0011,0.0014
4,64,32,0.0013,0.0016
1,64,32,0.0007,0.0011
2,64,32,0.0017,0.0021
3,64,32,0.0012,0.0015
4,64,32,0.0011,0.0014
1,64,32,0.0005,0.0008
2,64,32,0.0012,0.0015
3,64,32,0.0011,0.0013
4,64,32,0.0014,0.0017
1,64,32,0.0007,0.0010
2,64,32,0.0015,0.0020
3,64,32,0.0011,0.0014
4,64,32,0.0013,0.0016
1,64,32,0.0014,0.0017
2,64,32,0.0029,0.0032
3,64,32,0.0014,0.0017
4,64,32,0.0015,0.0019
1,128,1,0.0028,0.0037
2,128,1,0.0181,0.0191
3,128,1,0.0188,0.0198
4,128,1,0.0196,0.0207
1,128,1,0.0027,0.0036
2,128,1,0.0175,0.0185
3,128,1,0.0167,0.0175
4,128,1,0.0200,0.0209
1,128,1,0.0027,0.0036
2,128,1,0.0170,0.0178
3,128,1,0.0165,0.0174
4,128,1,0.0191,0.0201
1,128,1,0.0027,0.0035
2,128,1,0.0170,0.0179
3,128,1,0.0161,0.0170
4,128,1,0.0193,0.0201
1,128,1,0.0029,0.0038
2,128,1,0.0168,0.0177
3,128,1,0.0160,0.0169
4,128,1,0.0188,0.0196
1,128,1,0.0027,0.0035
2,128,1,0.0173,0.0182
3,128,1,0.0171,0.0180
4,128,1,0.0191,0.0199
1,128,1,0.0026,0.0034
2,128,1,0.0170,0.0178
3,128,1,0.0172,0.0180
4,128,1,0.0187,0.0196
1,128,1,0.0026,0.0034
2,128,1,0.0165,0.0175
3,128,1,0.0163,0.0172
4,128,1,0.0187,0.0195
1,128,1,0.0027,0.0036
2,128,1,0.0170,0.0178
3,128,1,0.0176,0.0185
4,128,1,0.0197,0.0207
1,128,1,0.0027,0.0035
2,128,1,0.0169,0.0178
3,128,1,0.0166,0.0175
4,128,1,0.0206,0.0215
1,128,2,0.0014,0.0022
2,128,2,0.0100,0.0108
3,128,2,0.0083,0.0091
4,128,2,0.0104,0.0113
1,128,2,0.0014,0.0023
2,128,2,0.0100,0.0109
3,128,2,0.0082,0.0090
4,128,2,0.0109,0.0117
1,128,2,0.0014,0.0022
2,128,2,0.0097,0.0105
3,128,2,0.0085,0.0093
4,128,2,0.0107,0.0115
1,128,2,0.0014,0.0022
2,128,2,0.0097,0.0105
3,128,2,0.0084,0.0093
4,128,2,0.0104,0.0113
1,128,2,0.0014,0.0022
2,128,2,0.0099,0.0108
3,128,2,0.0085,0.0093
4,128,2,0.0103,0.0112
1,128,2,0.0014,0.0022
2,128,2,0.0101,0.0110
3,128,2,0.0083,0.0091
4,128,2,0.0107,0.0116
1,128,2,0.0014,0.0022
2,128,2,0.0100,0.0110
3,128,2,0.0083,0.0091
4,128,2,0.0106,0.0114
1,128,2,0.0014,0.0023
2,128,2,0.0096,0.0104
3,128,2,0.0081,0.0089
4,128,2,0.0106,0.0116
1,128,2,0.0014,0.0022
2,128,2,0.0095,0.0103
3,128,2,0.0085,0.0094
4,128,2,0.0105,0.0114
1,128,2,0.0014,0.0022
2,128,2,0.0097,0.0106
3,128,2,0.0084,0.0092
4,128,2,0.0105,0.0114
1,128,4,0.0015,0.0022
2,128,4,0.0052,0.0060
3,128,4,0.0048,0.0057
4,128,4,0.0055,0.0063
1,128,4,0.0013,0.0021
2,128,4,0.0052,0.0060
3,128,4,0.0048,0.0056
4,128,4,0.0054,0.0063
1,128,4,0.0013,0.0021
2,128,4,0.0052,0.0060
3,128,4,0.0048,0.0056
4,128,4,0.0055,0.0063
1,128,4,0.0013,0.0021
2,128,4,0.0052,0.0061
3,128,4,0.0048,0.0057
4,128,4,0.0055,0.0064
1,128,4,0.0013,0.0021
2,128,4,0.0052,0.0061
3,128,4,0.0050,0.0058
4,128,4,0.0055,0.0063
1,128,4,0.0013,0.0021
2,128,4,0.0052,0.0061
3,128,4,0.0048,0.0056
4,128,4,0.0055,0.0064
1,128,4,0.0013,0.0022
2,128,4,0.0052,0.0060
3,128,4,0.0048,0.0056
4,128,4,0.0054,0.0062
1,128,4,0.0013,0.0021
2,128,4,0.0054,0.0062
3,128,4,0.0049,0.0058
4,128,4,0.0055,0.0063
1,128,4,0.0013,0.0021
2,128,4,0.0053,0.0060
3,128,4,0.0049,0.0057
4,128,4,0.0056,0.0064
1,128,4,0.0013,0.0021
2,128,4,0.0052,0.0060
3,128,4,0.0049,0.0057
4,128,4,0.0056,0.0065
1,128,8,0.0011,0.0019
2,128,8,0.0034,0.0042
3,128,8,0.0029,0.0037
4,128,8,0.0033,0.0041
1,128,8,0.0011,0.0019
2,128,8,0.0031,0.0038
3,128,8,0.0029,0.0036
4,128,8,0.0037,0.0045
1,128,8,0.0012,0.0020
2,128,8,0.0031,0.0038
3,128,8,0.0029,0.0037
4,128,8,0.0032,0.0040
1,128,8,0.0011,0.0019
2,128,8,0.0031,0.0038
3,128,8,0.0029,0.0036
4,128,8,0.0058,0.0067
1,128,8,0.0011,0.0019
2,128,8,0.0031,0.0039
3,128,8,0.0029,0.0037
4,128,8,0.0032,0.0040
1,128,8,0.0011,0.0019
2,128,8,0.0031,0.0040
3,128,8,0.0045,0.0053
4,128,8,0.0033,0.0040
1,128,8,0.0011,0.0019
2,128,8,0.0031,0.0039
3,128,8,0.0028,0.0036
4,128,8,0.0032,0.0040
1,128,8,0.0011,0.0019
2,128,8,0.0040,0.0049
3,128,8,0.0029,0.0036
4,128,8,0.0032,0.0040
1,128,8,0.0011,0.0019
