size,procs,threads,computation_time
4096,16,2,5.1124
4096,16,2,5.3600
4096,16,2,4.8531
4096,16,2,4.9472
4096,16,2,4.7759
4096,16,2,4.7853
4096,16,2,4.9922
4096,16,2,5.1637
4096,16,2,4.7834
4096,16,2,4.8815
4096,16,2,4.8858
4096,16,4,4.6715
4096,16,4,4.6644
4096,16,4,4.7300
4096,16,4,4.7487
4096,16,4,4.8105
4096,16,4,4.4341
4096,16,4,4.8029
4096,16,4,5.0119
4096,16,4,4.6806
4096,16,4,4.8046
4096,16,4,5.1469
4096,16,4,4.8280
4096,16,4,4.9168
4096,16,4,4.9959
4096,16,4,4.7938
4096,32,1,6.7962
4096,32,1,5.3246
4096,32,1,6.4401
4096,32,1,6.7761
4096,32,1,4.5755
4096,32,1,6.5093
4096,32,1,6.4183
4096,32,1,6.9414
4096,32,1,6.4168
4096,32,1,6.4584
4096,32,1,6.1739
4096,32,1,6.5354
4096,32,1,7.4946
4096,32,1,6.4980
4096,32,1,6.4274
4096,32,2,6.0238
4096,32,2,6.6203
4096,32,2,6.2641
4096,32,2,6.2992
4096,32,2,6.2784
4096,32,2,6.7534
4096,32,2,6.1045
4096,32,2,6.2593
4096,32,2,6.3609
4096,32,2,5.9913
4096,32,2,5.7068
4096,32,2,5.9882
4096,32,2,6.3303
4096,32,2,6.3675
4096,32,2,6.1883
4096,64,1,9.6011
4096,64,1,8.8433
4096,64,1,8.8183
4096,64,1,9.1329
4096,64,1,9.3046
4096,64,1,8.7074
4096,64,1,9.5299
4096,64,1,9.5156
4096,64,1,8.8861
4096,64,1,8.5395
4096,64,1,10.2228
4096,64,1,8.8920
4096,64,1,8.8019
4096,64,1,9.4219
4096,64,1,9.0232
