region,size,io_time,memory_time,computation_time,total_time
4,64,0.0002,0.0002,0.0049,0.0052
1,64,0.0002,0.0001,0.0006,0.0010
2,64,0.0002,0.0001,0.0043,0.0046
3,64,0.0001,0.0002,0.0040,0.0043
4,64,0.0001,0.0001,0.0050,0.0053
1,128,0.0003,0.0005,0.0025,0.0034
2,128,0.0005,0.0008,0.0168,0.0182
3,128,0.0004,0.0006,0.0168,0.0177
4,128,0.0005,0.0007,0.0192,0.0205
1,128,0.0004,0.0006,0.0025,0.0035
2,128,0.0004,0.0006,0.0170,0.0180
3,128,0.0005,0.0008,0.0159,0.0172
4,128,0.0005,0.0006,0.0188,0.0198
1,128,0.0003,0.0006,0.0025,0.0034
2,128,0.0004,0.0006,0.0188,0.0197
3,128,0.0005,0.0007,0.0164,0.0175
4,128,0.0005,0.0006,0.0191,0.0202
1,128,0.0004,0.0006,0.0026,0.0036
2,128,0.0003,0.0006,0.0168,0.0177
3,128,0.0004,0.0006,0.0158,0.0168
4,128,0.0003,0.0006,0.0202,0.0211
1,128,0.0004,0.0006,0.0025,0.0035
2,128,0.0005,0.0005,0.0172,0.0182
3,128,0.0004,0.0006,0.0159,0.0169
4,128,0.0006,0.0007,0.0194,0.0206
1,128,0.0004,0.0006,0.0027,0.0038
2,128,0.0004,0.0006,0.0165,0.0175
3,128,0.0004,0.0006,0.0166,0.0175
4,128,0.0004,0.0006,0.0193,0.0203
1,128,0.0003,0.0006,0.0025,0.0034
2,128,0.0006,0.0006,0.0167,0.0178
3,128,0.0004,0.0005,0.0156,0.0166
4,128,0.0004,0.0006,0.0187,0.0197
1,128,0.0004,0.0006,0.0027,0.0037
2,128,0.0004,0.0006,0.0171,0.0181
3,128,0.0007,0.0008,0.0164,0.0179
4,128,0.0005,0.0005,0.0191,0.0202
1,128,0.0004,0.0006,0.0026,0.0035
2,128,0.0005,0.0007,0.0163,0.0175
3,128,0.0004,0.0006,0.0167,0.0177
4,128,0.0003,0.0006,0.0194,0.0204
1,128,0.0003,0.0006,0.0025,0.0034
2,128,0.0005,0.0005,0.0171,0.0181
3,128,0.0005,0.0008,0.0160,0.0173
4,128,0.0004,0.0007,0.0188,0.0198
1,256,0.0011,0.0023,0.0098,0.0131
2,256,0.0011,0.0020,0.0688,0.0719
3,256,0.0011,0.0020,0.0663,0.0694
4,256,0.0011,0.0021,0.0777,0.0809
1,256,0.0014,0.0021,0.0100,0.0135
2,256,0.0011,0.0019,0.0698,0.0728
3,256,0.0012,0.0021,0.0663,0.0696
4,256,0.0012,0.0019,0.0793,0.0825
1,256,0.0013,0.0021,0.0098,0.0132
2,256,0.0013,0.0019,0.0691,0.0723
3,256,0.0011,0.0020,0.0643,0.0674
4,256,0.0014,0.0020,0.0779,0.0813
1,256,0.0011,0.0021,0.0098,0.0129
2,256,0.0012,0.0019,0.0702,0.0733
3,256,0.0014,0.0022,0.0648,0.0684
4,256,0.0014,0.0020,0.0775,0.0809
1,256,0.0010,0.0020,0.0098,0.0128
2,256,0.0011,0.0027,0.0677,0.0715
3,256,0.0011,0.0019,0.0659,0.0689
4,256,0.0011,0.0019,0.0777,0.0806
1,256,0.0011,0.0020,0.0098,0.0129
2,256,0.0011,0.0019,0.0695,0.0725
3,256,0.0011,0.0020,0.0627,0.0658
4,256,0.0011,0.0020,0.0777,0.0808
1,256,0.0012,0.0019,0.0099,0.0131
2,256,0.0011,0.0019,0.0684,0.0715
3,256,0.0012,0.0019,0.0648,0.0680
4,256,0.0011,0.0020,0.0780,0.0811
1,256,0.0011,0.0019,0.0096,0.0126
2,256,0.0011,0.0021,0.0684,0.0716
3,256,0.0012,0.0019,0.0641,0.0673
4,256,0.0011,0.0020,0.0775,0.0806
1,256,0.0015,0.0019,0.0096,0.0130
2,256,0.0012,0.0024,0.0705,0.0740
3,256,0.0012,0.0020,0.0639,0.0671
4,256,0.0018,0.0021,0.0772,0.0812
1,256,0.0017,0.0020,0.0100,0.0137
2,256,0.0011,0.0020,0.0694,0.0726
3,256,0.0014,0.0019,0.0647,0.0680
4,256,0.0010,0.0020,0.0797,0.0826
1,512,0.0041,0.0076,0.0380,0.0497
2,512,0.0043,0.0082,0.2636,0.2761
